type,id,parent_id,text
comment,UgyK-MwbIK6xIqxsOb14AaABAg,,Sudah ku duga ending nya bakalan kaya gini lol!!!
comment,UgwFPUxMBNhHgje9IxV4AaABAg,,malah jadi banyolan bersama
comment,UgxSsLbPGzkM9YODC3V4AaABAg,,❤MAAF PASIEN ODGJ ROY SURYO KABUR DARI RS.JIWA❤❤❤
comment,Ugz0ijOFBjm4Q8h_tnV4AaABAg,,Cuman di indonesia pakar telematika ngurusin ijazah palsu 😂
comment,UgxHxDnteXl8GKeaO_V4AaABAg,,Penerus sengkuni
comment,UgzhNeET88UKhmbBMcx4AaABAg,,"Menurut gw, cuma pengadilan Akhirat yg mungkin dipercaya Roy dkk, jika gk percaya juga ya gak tau lagi gw"
comment,UgxZLhB8AvmphUUjbQ94AaABAg,,Sudah ketahuan dg ketertawaannya roy suryo
comment,UgwadqO_mMq-vSwH2Rl4AaABAg,,Roy pringas pringis pengen di jotosi
comment,Ugy4v4xKN0aYAa-mTdB4AaABAg,,"SEMOGA ADA YANG MASUK PENJARA, AAMIIN"
comment,Ugx78DkSfEKFx0R2Q3N4AaABAg,,Doa rakyat menyertai kamu roy
comment,UgzBzgzGfPiFxZNUUFt4AaABAg,,Hhhhh makin hancur nama si coklat. Nggak ada yang bisa di percaya di negara konoha
comment,UgyhntNlKR5BTfp9j514AaABAg,,Semangat masuk penjara 😅😅
comment,Ugy_UyZlDEyhJ0ngaph4AaABAg,,Political move = pengalihan perhatian masyarakat ke isu yang tidak penting supaya masalah mega korupsi tidak viral di sorot medsos 😢
comment,UgzXOpUH9gp8qVGcVIB4AaABAg,,Kapolri yg angkat BP nya wapres<br>Penyidiknya bawahan kapolri<br>Semua pasti beressss
comment,UgzHeoW8E0exV8vY0Pl4AaABAg,,Tunjukan ijazah yg aslinya ke rakyat.gitu aja ko repot.
comment,UgzTMRIQ7qUP6vxAj7h4AaABAg,,Loyalis Joko Assad
comment,UgxYwhKvS-Cg6uyOn1N4AaABAg,,Joko Assad
comment,UgwQ3a0om7W_T1MbxT94AaABAg,,Joko Assad
comment,UgybuzpphqMYk7qAljV4AaABAg,,Sekolah tinggi&quot; lulus nganggur trus jd buzzer 😂
comment,UgxyPKKluk3yjq3fKUt4AaABAg,,Saya sampai cari ke Chat Gpt perbedaan antara identik dan otentik...
comment,Ugx9quU0CIxa3uMsCwB4AaABAg,,"Apa susah nya transparansi, periksa saja dipublik dan di tonton oleh seluruh rakyat Indonesia"
comment,Ugycyq7Stp108GfTtdt4AaABAg,,"Roy Suryo ketawa ketawi dan cengar cengir tp hatinya panik dan takut...., sudah keliatan dr gesturnya...."
comment,Ugy26Bcmp2appxH9nQh4AaABAg,,"Kami Ini Muak Dengan Kebijakan&quot; yg sungguh Konyol, Kami ini Malu atas perilaku&quot; brengsek yg penguasa lakukan terhadap Indonesia. Kami Rakyat Indonesia jngan kalian bodohi dengan problematika yg seolah&quot; arah kalian kami Tdk mengetahui objeknya ke mna. STOP TIPU&quot;🖕"
comment,UgxlI_fnGCgOp6AaD494AaABAg,,"Roy Suryo cs, saya sangat setuju dipidanakan krn sudah bikin gaduh bangsa..."
reply,UgxlI_fnGCgOp6AaD494AaABAg.AIUQxAwikFoAIVB-vFo_A9,UgxlI_fnGCgOp6AaD494AaABAg,Liat koment warganet lbh banyak yg mana?
comment,UgzdLNsKxUmqTeyzQW14AaABAg,,kuasa hukum JK mirip jesnolimit nok😅
comment,Ugy_vjUJ6ehamSm9J7d4AaABAg,,kongkalikong ugm kongka polisi kongka pengadilan
comment,UgyOpEinZeDFf48h8GR4AaABAg,,Mereka yg menyalakan api mereka juga yg bingung cari pemadamnya.😁
comment,Ugwv7Xthc6VRyWpC_Ct4AaABAg,,😂
comment,UgyDwrqEKIQklN9IDTh4AaABAg,,Yang Final itu disaat tim yang kalah berbaju orange hahahha selamat ya
comment,UgxZoC-ZbpIQcTr0VON4AaABAg,,KOK POLISI SEKARANG MERANGKAP JADI HAKIM YA???......YANG BISA MEMUTUSKAN ASLI ATAU PALSU HARUSNYA HAKIM DI PENGADILAN BUKAN POLISI!!!.....HANCUUUR NEGARA INI KALAU POLISI SEPERTI INI.....
comment,UgyPGZRFuaajsNhm6EV4AaABAg,,Malu banget nunjukin ijasah ke rakyat.. padahal minta suara aja gak malu
comment,UgzI5qH-aDbh0YUTIOF4AaABAg,,"orang lg ngomong selalu dipotong roy, manandakan sedang panik😂😂 biar yg nyimak gk fokus dan tidak tercerahkan😂😂😂😂"
comment,UgwTZ6ij0g2KATw2ZCR4AaABAg,,Ancur..ancur..
comment,UgwPt7LI0nzqqFEB1KJ4AaABAg,,SEMANGAT TERUS PERJUANGANMU ROY SURYO C&#39;S SEMOGA SEHAT SLL AMIN ❤
reply,UgwPt7LI0nzqqFEB1KJ4AaABAg.AIULa40TBe9AIUuREhF_KI,UgwPt7LI0nzqqFEB1KJ4AaABAg,semangat roy...terus maju...masih belum final...finalnya nanti klo roy dah   pake baju orange...😂😂
comment,UgySvYuzxm2hzAiyAYt4AaABAg,,"identik itu kyk tas gucci kw super sm ori , ya sama tampilannya, bentuknya dll. perlu diteliti jelas oleh pihak yg kompeten"
comment,UgzoAKWHmSCFiMuyYXV4AaABAg,,Gak kbyang klo q jd keluargany a roe
comment,UgzJYDjc-s2WE8srPYh4AaABAg,,Susno duaji dan si Yakob ini narasumber yg sudah masuk angin makanya alasannya hanya diulang ulang alias tdk bermutu… (Yg setuju Like)
comment,Ugx3ruFQr18tM-x4wJZ4AaABAg,,Hanya para kera dan Termul yg percaya keputusan aparat hukum yg bayar… bayar…. Bayar… hahahahaha
comment,UgxNyIlg-CoMRnHAtmd4AaABAg,,"Sudah jelas yg di katakan P.Susno cuma si Roy Panci ini tetap ngeyel ,, klu emang GK percaya dg Polisi buat apa anda lapor ke polisi..."
comment,UgzpYQhwypnsM-BdqpZ4AaABAg,,Satu hal yg ga bisa di pungkiri roy suryo itu termasuk ahli yg sering digunakan oleh polri jg dulunya bahkan dr jaman sebelum android ada.
comment,UgxndFyk0DkYmOuNF5p4AaABAg,,Hanya para kera dan Termul yg percaya keputusan aparat hukum yg bayar… bayar…. Bayar… hahahahaha
comment,UgyCfncoR0fhZ8FRFrV4AaABAg,,Susno polisi yang bermasalah
comment,UgxGw6KEO0LOPl8ZqlJ4AaABAg,,Palsuu.. Pinokio.. Rakuss
comment,Ugy6Morcn9VyT8qPWE54AaABAg,,"Yakup kelihatan banget glagapan nya,argumentasinya tidak bermutu."
comment,UgzMpXxse-qBp2e1Ll14AaABAg,,Dukungan penuh kepada RS CS..  utk segera memakai kostum orange..
comment,UgwfIO3--jAjudPfxcx4AaABAg,,egi durjana mana kok gk klhtan batang hidungnya diakan tketuanya..??  Apa dia cari aman yaa.... 😅😅😅😅😅
comment,UgxBgviX2RJvAd1kC8d4AaABAg,,Si Roy siap2 msk hotel prodeo lg..
comment,UgydxqiGvJQKqB6lYOl4AaABAg,,Roy suryo penjara 10thn menanti
comment,Ugy5RncaGBDzdcPgcHF4AaABAg,,"Ingat ini bukan soal 1 orang aja,   kalo tidak di  selesaikan dengan benar, cita negara bisa rusak loh,  bisa2 semua documen kita di curigai,   selesaikan kasus ni tanpa meninggalkan persepsi buruk jangan ada lagi kecurigaan, trasparan,"
comment,Ugwi9TVr5dGgXS3hXZd4AaABAg,,JABATAN KALIAN YG SENGKONGKOL YG MMBELA KEBOBROKAN N KEBOHONGAN AKAN KALIAN PERTARUHKN DI HADAPAN RAKYAT INDONESIA....SELAMA RAKYAT TIDAK AKAN MENYENTUH ATAU MNCOBLOS KALIAN...KARENA KAMI RAKYAT SUDAH MUAK DENGAN KEBOHONGAN N KMUNDURAN...
comment,UgwN5EjlmikH_CrYSSV4AaABAg,,SUBHANALLAAAAH...<br>Jadi rieut ieu huluuuuuu....!!!<br>Kunaon shiii...tempokeun wae atuh eta ijazah teeh...<br>Koret banget JKW...<br>HUFT....
comment,UgybzROY77iew8bRXZV4AaABAg,,"Begitu warasnya kah RS 😅😅😅😅 <a href=""https://www.youtube.com/watch?v=n6YE2vkqVOE&amp;t=716"">11:56</a>"
comment,UgygNH8Qj8--SRcX1BF4AaABAg,,"&quot; SAYA TIDAK PERCAYA SAMA POLRI ...., KALAU SEANDAINYA  ADA ISTUTUSI LAIN YANG SAMA FUNGSINYA SAMA POLRI , MUNGKIN SAYA KE INSTITUSI LAIN &quot;"
comment,Ugy4dnIGVxG_xBA74QN4AaABAg,,Terima bagianmu dipengadilan roi.
comment,Ugwl969NNu2SPEUfqQp4AaABAg,,"Ijazah ijazah… dimana kamu??? 😂😂😂 se indonesia menanti ternyata kena prank,😂😂😂 katanya asli tapi ijazah yang asli itupun gak tau seperti apa. Ngakak. Makin gak jelas"
comment,Ugxt-4S1FV7ENLH9gid4AaABAg,,"Ngarti analog,,, ga,,,,, benalu nya ntuuu,"
comment,UgwP2EH9A2lnCsN6t9t4AaABAg,,Mantabz..... omroi omresmon dan mbaktifa pahlawan masa kini.... teruskan perjuanganmu.... akulah pendukungmu.... salut.... terimakasih.... huahaaaahhhhhaaaaahhhhaaaaaa.....
comment,UgwCgp6mUj47iyfTopN4AaABAg,,Astaghfirullah hal adzim
comment,UgyRY3-gq06UNE1S35t4AaABAg,,ASPAL.......apa artinya itu....😂🤣🤣🤣
